Year,Gender,Alcohol Abuse,Tobacco Prevalence,GDP per Capita,Doctors,Nurses and Midwifes,Air Pollution Death Rate Total,Universal Heath Care Coverage,Birth Rate,Government Expenditure Health,Vegetable Consumption,Fruit Consumption Apples,Diet Calories Fat,Diet Calories Carbohydrates,Basic Drinking Water Services,Clean Fuel and Technology,Total Population,Death Rate,Life Expectancy
2011,Female,11.77,38.17,16014.75,5.52,1.24,27.44,89.89,32.1,9.87,271.35,70.68,31.95,46.18,93.11,94.56,43381675.0,3.99,88.0
2020,Both,11.98,28.76,60622.38,1.77,2.6,97.48,39.68,36.47,7.73,323.6,143.45,27.06,53.94,89.36,48.31,48052614.0,10.16,88.0
2019,Both,4.16,14.79,8651.44,3.2,4.8,45.73,59.12,23.59,3.65,325.77,38.34,31.04,47.71,77.1,41.79,49519774.0,7.43,88.0
2016,Both,13.1,34.83,46390.52,1.34,3.24,60.59,22.38,26.08,3.73,97.13,108.99,41.13,58.22,66.03,76.53,54655630.0,9.37,85.74
2016,Both,12.8,8.38,56166.65,4.51,11.25,30.62,20.71,33.96,8.14,111.23,114.99,34.87,54.2,67.96,64.36,5615463.0,3.53,88.0
2022,Both,12.92,35.98,56530.22,5.89,2.48,83.9,76.44,29.03,6.16,276.48,23.54,28.43,53.31,82.55,33.31,56300654.0,8.23,88.0
2011,Both,3.19,28.6,14902.52,2.97,13.12,94.82,29.46,26.93,8.76,239.3,25.76,31.25,63.78,66.08,85.15,12452358.0,9.49,88.0
2019,Male,9.15,9.43,5372.5,1.47,4.1,44.03,63.82,15.61,5.72,321.53,69.32,44.07,48.06,69.64,80.07,54194893.0,8.48,88.0
2012,Both,8.54,8.18,34101.43,1.97,2.52,113.68,75.68,17.55,7.13,144.14,117.45,33.64,55.88,96.89,98.41,10010605.0,4.98,88.0
2011,Female,3.39,35.03,15824.41,6.58,1.14,8.52,22.58,21.26,3.88,304.41,174.02,33.83,40.0,87.82,95.68,38405235.0,7.45,88.0
2017,Female,5.56,16.72,52685.89,2.29,11.01,20.29,55.9,8.34,3.55,255.13,34.53,28.06,58.42,88.12,70.9,31002797.0,3.93,88.0
2023,Female,9.06,40.57,27266.61,6.24,4.59,72.71,74.73,23.44,2.76,108.64,132.51,31.09,52.56,98.02,78.02,77390974.0,7.79,88.0
2020,Both,13.89,35.48,34142.06,2.78,8.13,85.66,91.18,8.1,10.2,87.95,130.83,41.29,45.21,55.26,58.67,50501652.0,6.96,88.0
2020,Both,5.79,32.93,9220.58,1.67,2.56,33.83,43.94,28.91,7.55,260.82,127.12,40.72,40.04,66.0,92.19,7147652.0,9.76,88.0
